Name,Orig_Label,Pred_Label,Pred_Blurred_5_Label,Pred_Blurred_10_Label,Pred_Blurred_15_Label,Pred_Dark_1_Label,Pred_Dark_2_Label,Pred_Dark_3_Label,Pred_Bright_1_Label,Pred_Bright_2_Label,Pred_Bright_3_Label,Pred_Bright_4_Label,Pred_Bright_5_Label,Pred_Bright_6_Label,Pred_Bright_7_Label,Pred_Occl_5_Label,Pred_Occl_10_Label,Pred_Occl_15_Label,Pred_Occl_20_Label,Pred_Occl_25_Label
00082.png,25,25,25,25,25,25,25,18,25,25,25,25,25,25,25,25,25,25,25,11
00083.png,7,7,7,34,10,7,7,10,7,7,7,7,7,7,7,5,7,7,7,13
00084.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
00085.png,35,35,35,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,33
00086.png,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,3,3
00087.png,7,5,7,7,10,7,7,7,7,7,7,7,8,7,7,7,8,8,7,17
00088.png,22,22,22,20,22,22,11,31,22,22,22,22,22,22,22,22,22,22,11,19
00089.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00090.png,3,3,10,5,10,3,5,3,3,3,3,3,3,3,3,4,3,3,5,18
00091.png,1,2,1,2,8,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1
00092.png,2,2,2,2,14,1,2,2,2,2,2,1,1,13,13,4,1,2,4,2
00093.png,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
00094.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00095.png,32,32,32,41,42,42,6,32,32,32,41,32,32,16,41,32,32,32,32,32
00096.png,3,3,10,10,3,3,3,3,3,3,3,3,3,3,3,3,5,3,35,3
00097.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,35,38,35,38
00098.png,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9
00099.png,33,34,33,34,35,33,34,6,33,34,33,33,33,33,33,33,33,34,33,33
00100.png,1,1,1,1,1,1,1,1,1,1,2,1,25,1,25,1,7,1,12,1
00101.png,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10
00102.png,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,4,13
00103.png,11,11,11,31,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,18
00104.png,33,33,34,34,34,33,33,33,33,33,33,33,33,33,12,33,35,33,35,36
00105.png,4,4,4,4,8,4,4,4,4,4,4,4,4,2,2,4,15,4,4,4
00106.png,35,35,35,34,35,35,35,13,35,35,35,35,37,35,35,35,35,35,35,35
00107.png,25,11,25,25,30,25,25,25,25,25,22,25,25,25,25,25,11,11,11,25
00108.png,33,34,34,34,35,34,33,33,33,35,41,15,16,41,16,34,34,34,35,35
00109.png,4,4,4,8,10,4,4,4,4,4,4,4,4,4,4,4,4,18,18,8
00110.png,1,1,1,2,1,1,1,1,1,7,1,1,1,2,12,1,2,5,1,1
00111.png,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
00112.png,16,16,10,10,10,16,16,16,16,25,16,2,16,16,16,16,16,16,10,16
00113.png,10,10,10,10,10,10,10,4,10,10,10,9,9,41,13,10,10,13,15,13
00114.png,30,11,20,6,10,8,11,13,10,30,11,23,11,30,11,20,20,20,11,13
00115.png,3,3,3,5,5,3,3,3,3,3,3,3,3,1,3,3,3,8,1,3
00116.png,27,27,1,4,18,27,27,4,27,27,27,27,27,21,21,27,27,20,25,27
00117.png,29,23,11,25,25,13,29,11,29,29,29,18,18,13,28,29,18,11,18,23
00118.png,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,13
00119.png,17,17,17,10,8,17,13,17,17,41,15,12,18,41,15,17,17,17,17,13
00120.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1,13,13,13,13,13
00121.png,7,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
00122.png,1,1,8,1,7,1,1,10,2,41,41,41,42,41,41,1,1,1,1,1
00123.png,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,7,8,8
00124.png,2,2,2,2,2,2,2,2,4,2,2,2,1,1,2,2,2,0,2,2
00125.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,16,10
00126.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10
00127.png,30,11,20,8,13,20,11,13,30,11,20,38,30,30,11,30,30,30,30,13
00128.png,1,1,1,8,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00129.png,6,6,6,10,5,6,6,38,6,6,6,41,6,6,6,42,6,42,6,13
00130.png,36,36,36,36,36,36,38,36,36,37,36,38,38,13,16,36,36,36,36,36
00131.png,3,3,10,8,42,5,5,3,3,3,5,3,3,5,3,5,3,12,3,10
00132.png,14,14,14,14,17,14,14,14,14,14,14,1,38,1,41,14,14,14,13,14
00133.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00134.png,11,11,11,42,3,11,11,11,11,11,22,11,13,35,18,11,11,22,11,11
00135.png,10,10,10,10,17,10,10,10,10,10,9,10,16,10,9,10,10,10,15,15
00136.png,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11
00137.png,40,40,40,34,34,40,38,34,40,40,34,34,40,40,40,40,34,38,34,33
00138.png,2,2,5,5,5,2,4,2,1,2,2,2,2,2,2,2,2,2,10,2
00139.png,38,38,38,38,38,38,39,38,38,38,38,38,38,15,13,38,38,38,17,38
00140.png,41,41,41,41,41,41,41,41,16,9,9,9,9,41,41,41,41,42,41,42
00141.png,4,4,8,3,42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
00142.png,6,6,41,42,6,6,6,6,6,0,6,6,41,41,1,6,6,6,6,6
00143.png,18,18,26,25,18,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18
00144.png,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
00145.png,25,25,11,13,13,38,20,38,25,25,25,25,25,18,25,25,30,13,18,13
00146.png,2,2,2,2,2,2,2,2,2,2,2,2,2,1,25,1,2,2,2,13
00147.png,41,41,41,41,9,41,32,41,41,9,41,41,16,15,32,41,41,41,41,41
00148.png,11,11,11,11,11,11,11,18,11,11,11,11,11,11,11,11,11,18,11,11
00149.png,21,21,21,23,11,21,21,21,21,21,21,21,21,21,21,21,21,18,21,13
00150.png,7,7,7,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
00151.png,24,24,24,24,24,24,24,24,24,27,24,24,24,24,24,24,24,24,24,24
00152.png,11,11,11,25,17,11,11,11,11,11,11,11,11,11,11,11,11,18,11,11
00153.png,25,25,25,27,11,25,25,25,25,25,22,25,25,25,25,25,25,25,31,25
00154.png,17,17,17,17,17,17,17,17,17,17,17,17,41,13,32,17,17,17,17,17
00155.png,3,3,5,20,42,3,3,3,3,3,3,3,3,3,3,3,3,15,10,3
00156.png,6,6,6,6,8,6,6,3,6,6,6,6,6,6,6,6,6,6,42,6
00157.png,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16,9,9,9,9,9
00158.png,7,7,8,5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,24
00159.png,4,4,3,3,11,4,1,10,4,4,4,4,4,4,4,1,1,18,12,18
00160.png,13,13,13,13,13,13,19,13,13,13,13,13,13,16,18,13,16,11,13,13
00161.png,16,16,16,12,1,16,16,7,16,9,16,16,1,16,16,16,16,35,10,10
00162.png,4,4,4,8,25,4,4,4,4,4,4,1,4,4,4,4,11,4,1,4
00163.png,25,25,20,20,42,25,25,25,13,25,25,13,28,25,18,25,18,30,11,25
00164.png,18,18,18,26,26,11,26,18,18,18,18,18,18,18,18,24,18,18,18,26
00165.png,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
00166.png,13,12,13,13,13,13,13,13,13,13,13,12,13,18,13,13,13,13,13,13
00167.png,14,14,14,14,13,14,14,14,14,12,13,12,41,13,12,14,14,1,14,14
00168.png,29,29,23,29,10,29,29,29,11,29,11,29,29,29,29,28,29,28,29,29
00169.png,17,17,17,17,17,17,17,17,13,17,17,13,17,41,13,17,17,17,17,17
00170.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00171.png,38,38,38,38,40,38,38,32,38,38,38,38,38,38,38,38,38,38,38,35
00172.png,26,26,26,28,30,26,26,26,11,26,27,27,26,25,12,26,26,26,18,26
00173.png,25,25,25,25,42,25,31,25,25,25,25,25,25,25,25,25,11,25,18,31
00174.png,33,33,33,34,34,33,33,34,33,33,33,33,33,33,33,33,33,33,35,33
00175.png,1,1,1,1,1,1,1,5,1,1,1,41,25,25,13,1,1,20,15,1
00176.png,3,4,5,25,5,5,3,8,3,3,3,3,3,5,5,3,3,5,5,3
00177.png,40,40,34,34,38,40,40,6,40,40,40,40,40,40,40,34,40,35,33,40
00178.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00179.png,2,2,2,5,2,4,2,2,2,2,2,2,2,2,2,2,9,2,14,2
00180.png,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,8
00181.png,4,4,2,8,8,4,4,4,4,4,4,9,1,25,41,4,4,24,18,4
00182.png,36,36,36,36,35,36,36,36,36,36,36,36,36,38,41,35,36,36,36,38
00183.png,25,25,25,25,31,25,25,25,25,25,25,25,25,25,25,25,25,11,13,25
00184.png,20,19,20,26,13,20,25,20,19,20,19,19,19,19,19,19,19,18,18,11
00185.png,25,25,11,25,25,25,25,25,25,25,11,18,12,25,25,25,18,25,25,25
00186.png,18,18,31,42,10,18,18,18,18,18,18,18,11,18,18,18,18,18,18,18
00187.png,1,0,2,7,8,1,1,1,1,1,2,41,41,41,13,1,4,1,1,17
00188.png,10,4,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10
00189.png,8,8,8,8,31,8,8,8,8,7,8,8,8,7,8,8,8,18,8,8
00190.png,10,10,10,8,5,8,10,10,10,10,10,7,5,10,10,10,10,10,10,10
00191.png,29,29,29,23,24,29,29,29,29,29,23,22,18,13,25,29,29,18,29,23
00192.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,25
00193.png,38,38,38,38,5,38,38,38,40,38,38,38,39,39,38,38,39,38,38,35
00194.png,31,31,31,20,20,31,31,11,31,31,31,31,31,31,31,31,31,31,11,21
00195.png,2,2,2,2,9,2,2,2,2,2,2,1,2,2,2,2,2,2,2,17
00196.png,8,8,8,7,5,4,8,8,4,8,4,4,4,4,4,4,9,8,8,11
00197.png,38,38,40,42,42,38,38,38,38,41,32,41,41,13,41,38,38,13,38,38
00198.png,18,18,21,11,9,18,21,18,21,18,18,31,19,19,19,21,21,18,18,23
00199.png,28,11,25,25,11,28,28,20,28,29,25,18,13,18,25,28,28,18,28,11
00200.png,17,17,17,17,17,17,17,17,17,17,17,17,25,41,32,17,17,17,17,17
00201.png,9,9,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13
00202.png,4,4,10,8,8,4,4,4,4,4,4,4,4,4,4,4,4,20,2,31
00203.png,1,1,2,10,8,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2
00204.png,17,17,17,17,13,17,17,17,17,17,17,17,17,12,12,17,18,17,17,14
00205.png,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16
00206.png,2,2,2,2,8,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1
00207.png,31,38,20,10,10,31,31,31,25,31,31,31,21,31,31,20,31,18,18,31
00208.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00209.png,15,15,15,15,15,15,15,13,15,15,15,15,15,13,16,15,15,15,15,15
00210.png,15,15,15,15,15,15,15,15,15,15,9,15,15,15,15,15,15,15,15,15
00211.png,38,38,38,38,38,38,42,13,38,38,38,38,38,4,38,38,6,38,38,38
00212.png,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
00213.png,5,5,1,8,8,5,1,5,1,1,2,1,2,32,15,5,1,5,2,2
00214.png,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,11,25,11
00215.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00216.png,10,10,10,10,10,10,10,10,10,10,10,17,10,9,41,9,17,10,17,10
00217.png,5,1,5,4,8,5,5,5,5,2,1,1,1,2,2,4,5,5,1,10
00218.png,4,4,8,7,9,4,4,4,4,4,4,4,4,4,2,4,4,4,4,14
00219.png,10,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,13
00220.png,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,16,15
00221.png,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,18,18
00222.png,5,5,5,8,8,5,5,5,5,5,5,5,1,1,1,5,1,5,36,13
00223.png,1,1,1,2,8,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1
00224.png,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
00225.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12
00226.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00227.png,5,5,5,1,7,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5
00228.png,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,8,4,8
00229.png,36,36,34,40,15,37,36,36,36,36,36,36,36,36,36,36,35,35,15,36
00230.png,25,25,25,25,25,25,25,25,11,25,11,25,25,25,25,25,25,25,18,25
00231.png,13,13,13,13,13,13,13,13,13,18,13,13,13,13,13,15,13,18,13,13
00232.png,33,34,34,39,10,34,34,33,33,41,41,13,41,41,41,39,35,35,33,35
00233.png,18,18,18,30,10,18,18,11,18,18,18,18,18,18,18,18,18,18,13,18
00234.png,33,33,33,33,34,33,33,33,33,33,33,33,35,33,33,33,33,33,33,33
00235.png,19,19,31,19,10,20,19,19,19,20,19,20,19,19,20,18,20,19,18,13
00236.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00237.png,30,11,12,13,42,30,20,12,11,11,30,30,11,30,11,13,42,20,30,11
00238.png,4,5,4,4,8,4,4,10,4,4,4,4,4,4,4,4,4,4,4,13
00239.png,18,18,18,18,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
00240.png,12,32,12,12,12,12,12,12,12,12,12,12,13,12,3,12,12,12,12,11
00241.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00242.png,20,19,20,18,26,20,20,19,19,20,19,19,19,19,19,22,20,20,11,20
00243.png,0,0,5,8,5,0,0,4,0,0,0,0,0,0,2,0,0,20,4,8
00244.png,10,10,13,8,10,10,10,10,10,10,10,10,10,10,10,10,10,18,10,10
00245.png,40,40,40,34,34,40,40,6,40,40,36,40,40,40,40,36,40,40,40,36
00246.png,5,5,5,7,13,5,5,5,5,5,5,5,5,5,2,5,1,5,18,5
00247.png,8,5,5,5,8,8,8,8,8,5,8,8,8,5,5,5,5,20,5,5
00248.png,12,12,12,12,18,12,12,12,18,12,12,38,13,13,13,12,12,18,12,13
00249.png,38,38,34,34,5,38,33,38,38,38,33,33,41,33,13,38,38,35,38,38
00250.png,20,20,20,20,20,19,20,20,23,19,19,19,19,20,41,20,31,23,42,20
00251.png,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
00252.png,0,0,4,8,10,0,0,8,0,0,0,18,0,0,0,4,4,1,0,0
00253.png,36,36,36,36,34,36,37,36,36,36,36,36,36,40,18,37,36,36,36,36
00254.png,34,34,34,40,35,34,34,33,34,35,25,25,13,1,13,34,35,34,35,35
00255.png,28,28,28,28,28,28,28,11,25,28,25,23,25,41,41,28,28,18,18,11
00256.png,35,35,40,40,12,34,35,35,38,35,16,13,41,41,41,35,35,35,35,11
00257.png,13,13,13,13,13,13,13,13,13,13,13,13,25,13,28,13,13,13,13,13
00258.png,25,25,25,11,2,25,25,25,25,25,25,25,25,25,25,25,11,25,25,18
00259.png,15,15,15,15,10,15,15,15,15,15,15,9,15,15,15,15,15,15,15,15
00260.png,35,35,34,35,36,35,35,35,35,35,35,35,35,35,35,35,35,35,33,35
00261.png,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
00262.png,18,18,20,8,31,18,18,18,31,25,18,18,12,18,18,18,18,18,18,18
00263.png,25,25,25,11,18,25,25,25,25,27,19,25,25,25,18,25,11,25,25,21
00264.png,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,24,10,1
00265.png,12,12,38,12,13,12,12,12,12,12,25,12,12,12,12,12,13,13,13,13
00266.png,5,8,5,7,7,7,5,5,5,5,2,2,2,41,41,5,5,18,5,5
00267.png,25,25,25,25,25,25,25,25,25,25,25,11,25,25,25,25,25,25,25,13
00268.png,2,5,2,2,5,2,2,2,2,2,4,4,2,2,2,2,2,2,3,10
00269.png,18,18,18,5,18,18,11,18,18,18,18,18,18,18,18,18,18,18,18,17
00270.png,18,18,27,18,27,18,18,32,18,18,18,18,25,25,25,18,27,24,27,18
00271.png,18,25,12,42,25,18,18,31,9,18,18,18,18,18,18,18,18,18,18,18
00272.png,34,34,34,36,33,34,33,33,34,33,34,33,33,33,33,34,34,34,34,35
00273.png,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,4,9,10
00274.png,25,25,25,25,12,25,25,25,25,25,25,25,23,25,25,25,25,25,25,11
00275.png,18,25,26,11,25,25,18,18,18,18,18,18,18,18,18,18,18,18,18,18
00276.png,34,35,34,35,34,34,34,34,34,33,12,25,13,13,11,34,33,34,35,35
00277.png,39,39,38,38,33,38,39,38,38,33,41,35,16,16,38,38,39,39,39,35
00278.png,31,31,31,31,20,19,31,31,31,31,31,31,31,31,20,31,18,18,31,31
00279.png,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,12
00280.png,9,9,9,3,16,9,9,9,9,9,9,9,9,9,9,32,15,9,18,9
00281.png,35,37,36,36,36,35,35,36,35,35,35,35,37,35,35,35,13,35,35,35
00282.png,31,31,31,20,20,31,31,31,31,25,31,31,38,31,31,31,31,31,31,31
00283.png,26,26,20,6,10,26,26,26,42,26,26,11,26,26,21,26,11,26,15,11
00284.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1
00285.png,1,1,1,1,9,17,9,1,1,4,1,2,1,38,25,1,1,1,1,1
00286.png,33,33,34,34,36,34,34,34,33,33,33,33,35,33,33,33,34,33,34,33
00287.png,30,30,38,11,42,25,42,20,30,11,11,11,11,30,11,30,20,13,11,13
00288.png,17,17,17,17,17,17,17,17,17,17,13,13,4,16,25,17,17,17,17,17
00289.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00290.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
00291.png,31,31,17,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,11
00292.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00293.png,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
00294.png,5,5,8,5,8,5,5,3,5,5,5,5,5,5,5,5,5,5,13,5
00295.png,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00296.png,33,33,33,34,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,40
00297.png,28,28,28,29,28,28,28,28,28,28,28,23,21,28,21,28,18,28,28,11
00298.png,35,35,35,35,34,35,35,35,35,35,35,38,13,13,13,35,35,35,35,35
